person_id,crash_id,road_user,gender,age,age_group,load_ts
2258,20221237,Motorcycle rider,Male,48,40_to_64,2025-05-06T08:22:34
2259,20221060,Pedestrian,Male,32,26_to_39,2025-05-06T08:22:34
2260,20222090,Motorcycle rider,Male,44,40_to_64,2025-05-06T08:22:34
2261,20222176,Driver,Female,27,26_to_39,2025-05-06T08:22:34
2262,20222214,Motorcycle rider,Male,58,40_to_64,2025-05-06T08:22:34
2263,20221243,Passenger,Female,84,75_or_older,2025-05-06T08:22:34
2264,20222208,Driver,Male,49,40_to_64,2025-05-06T08:22:34
2265,20223118,Passenger,Female,41,40_to_64,2025-05-06T08:22:34
2266,20222172,Motorcycle pillion passenger,Male,53,40_to_64,2025-05-06T08:22:34
2267,20221127,Driver,Female,85,75_or_older,2025-05-06T08:22:34
2268,20222183,Motorcycle rider,Male,29,26_to_39,2025-05-06T08:22:34
2269,20223153,Pedestrian,Male,33,26_to_39,2025-05-06T08:22:34
2270,20221244,Passenger,Female,14,0_to_16,2025-05-06T08:22:34
2271,20221244,Passenger,Male,16,0_to_16,2025-05-06T08:22:34
2272,20221244,Passenger,Female,14,0_to_16,2025-05-06T08:22:34
2273,20221244,Passenger,Male,15,0_to_16,2025-05-06T08:22:34
2274,20221244,Passenger,Female,15,0_to_16,2025-05-06T08:22:34
2275,20221133,Driver,Male,56,40_to_64,2025-05-06T08:22:34
2276,20224026,Passenger,Male,17,17_to_25,2025-05-06T08:22:34
2277,20222199,Pedestrian,Male,27,26_to_39,2025-05-06T08:22:34
2278,20224038,Motorcycle rider,Male,38,26_to_39,2025-05-06T08:22:34
2279,20224051,Driver,Male,24,17_to_25,2025-05-06T08:22:34
2280,20223228,Driver,Female,56,40_to_64,2025-05-06T08:22:34
2281,20221025,Motorcycle rider,Female,53,40_to_64,2025-05-06T08:22:34
2282,20223025,Driver,Female,56,40_to_64,2025-05-06T08:22:34
2283,20223147,Motorcycle rider,Male,27,26_to_39,2025-05-06T08:22:34
2284,20223039,Driver,Male,57,40_to_64,2025-05-06T08:22:34
2285,20222192,Motorcycle rider,Male,46,40_to_64,2025-05-06T08:22:34
2286,20222215,Driver,Female,20,17_to_25,2025-05-06T08:22:34
2287,20223061,Driver,Male,82,75_or_older,2025-05-06T08:22:34
2288,20223170,Passenger,Female,62,40_to_64,2025-05-06T08:22:34
